Observation #,Code,Food name in English,Nom d’aliment en français,"Weight of ingredients (edible portion, raw) / Poids des ingrédients (parte comestible, cru) (g)",Yield factor / Factor de rendement,Method,Méthode
Cereals and their products/Céréales et produits dérivés,,,,,,,
1,01_172,"Baling béinré (northern Burkina Faso)*: sorghum porridge with monkey bread, tamarind, water, milk and sugar","Baling béinré (nord du Burkina Faso)*: bouillie de sorgho avec pain de singe, tamarin, eau, lait et sucre",,0.6518918918918919,Form lumps with some flour. Mix the tamarind fruit with the water. Boil water and drop the lumps in. Stir and cook. Mix the flour in a glass of water and pour into the pot. Add the monkey bread powder. Stir and cook slowly. Add sugar and milk powder.,Former des morceaux avec un peu de farine. Mélanger le tamarin avec l’eau. Faites bouillir de l’eau et ajouter les morceaux dedans. Remuer et laisser cuire. Mélanger la farine dans un verre d’eau et verser dans le pot. Ajouter la poudre de pain de singe. Remuer et cuire à feu doux. Ajouter du sucre et du lait en poudre.
,01_072,"Sorghum, flour, degermed","Sorgho, farine, dégermé",56.0,,,
,05_021,"Tamarind, fruit, ripe, raw","Tamarin, fruit, mûr, cru",24.0,,,
,05_004,"Baobab, fruit/monkey bread, raw","Baobab, fruit/pain de singe, cru",5.0,,,
,10_017,"Milk, cow, powder, skimmed, unfortified","Lait, de vache, en poudre, écrémé, non enrichi",30.0,,,
,13_002,"Sugar, white","Sucre, blanc",35.0,,,
,12_019,"Water, tap",Eau du robinet,775.0,,,
2,01_172,"Baling béinré (northern Burkina Faso)*: sorghum porridge with monkey bread, tamarind, water, milk and sugar","Baling béinré (nord du Burkina Faso)*: bouillie de sorgho avec pain de singe, tamarin, eau, lait et sucre",,0.5533249686323714,Form lumps with some flour. Mix the tamarind fruit with the water. Boil water and drop the lumps in. Stir and cook. Mix the flour in a glass of water and pour into the pot. Add the monkey bread powder. Stir and cook slowly. Add sugar and milk powder.,Former des morceaux avec un peu de farine. Mélanger le tamarin avec l’eau. Faites bouillir de l’eau et ajouter les morceaux dedans. Remuer et laisser cuire. Mélanger la farine dans un verre d’eau et verser dans le pot. Ajouter la poudre de pain de singe. Remuer et cuire à feu doux. Ajouter du sucre et du lait en poudre.
,01_072,"Sorghum, flour, degermed","Sorgho, farine, dégermé",47.0,,,
,05_021,"Tamarind, fruit, ripe, raw","Tamarin, fruit, mûr, cru",13.0,,,
,05_004,"Baobab, fruit/monkey bread, raw","Baobab, fruit/pain de singe, cru",4.0,,,
,10_017,"Milk, cow, powder, skimmed, unfortified","Lait, de vache, en poudre, écrémé, non enrichi",20.0,,,
,13_002,"Sugar, white","Sucre, blanc",30.0,,,
,12_019,"Water, tap",Eau du robinet,683.0,,,
1,01_173,"Baling ni zièm béinré (Burkina Faso)*: porridge of degermed sorghum with potash, water and sugar","Baling ni zièm béinré (Burkina Faso)*: bouillie de sorgho dégermé avec potasse, eau et sucre",,0.5716463414634146,Mix the tamarind fruit with the water. Mix some water with the flour to make lumps. Boil the lumps of flour in the water with the potash until cooked. Sweeten the water-flour mixture.,Mélanger le tamarin avec l’eau. Mélanger un peu d’eau avec la farine pour faire des morceaux. Faire bouillir les morceaux de farine dans l’eau avec la potasse jusqu’à ce qu’ils soient cuits. Sucrer le mélange eau-farine.
,01_072,"Sorghum, flour, degermed","Sorgho, farine, dégermé",30.0,,,
,05_021,"Tamarind, fruit, ripe, raw","Tamarin, fruit, mûr, cru",10.0,,,
,13_024,"Potash, solid","Potasse, solide",1.0,,,
,13_002,"Sugar, white","Sucre, blanc",35.0,,,
,12_019,"Water, tap",Eau du robinet,580.0,,,
2,01_173,"Baling ni zièm béinré (Burkina Faso)*: porridge of degermed sorghum with potash, water and sugar","Baling ni zièm béinré (Burkina Faso)*: bouillie de sorgho dégermé avec potasse, eau et sucre",,0.6616989567809239,Mix the tamarind fruit with the water. Mix some water with the flour to make lumps. Boil the lumps of flour in the water with the potash until cooked. Sweeten the water-flour mixture.,Mélanger le tamarin avec l’eau. Mélanger un peu d’eau avec la farine pour faire des morceaux. Faire bouillir les morceaux de farine dans l’eau avec la potasse jusqu’à ce qu’ils soient cuits. Sucrer le mélange eau-farine.
,01_072,"Sorghum, flour, degermed","Sorgho, farine, dégermé",35.0,,,
,05_021,"Tamarind, fruit, ripe, raw","Tamarin, fruit, mûr, cru",9.0,,,
,13_024,"Potash, solid","Potasse, solide",1.0,,,
,13_002,"Sugar, white","Sucre, blanc",26.0,,,
,12_019,"Water, tap",Eau du robinet,600.0,,,
1,01_168,Beenkida (Burkina Faso)*: maize porridge with maize granules,Beenkida (Burkina Faso)*: bouillie de maïs avec grumaux de maïs,,0.8644688644688645,Mix some water with the flour to make lumps. Drop the lumps in hot water and cook for about 15 minutes while stirring. Add sugar.,Mélanger un peu d’eau avec la farine pour faire des morceaux. Ajouter les morceaux dans l’eau bouillante et laisser cuire environ 15 minutes tout en remuant. Ajouter du sucre.
,01_081,"Maize, white, refined flour (super), unfortified","Maïs, blanc, farine raffinée (super), non enrichie",187.0,,,
,13_002,"Sugar, white","Sucre, blanc",24.0,,,
,12_019,"Water, tap",Eau du robinet,608.0,,,
